,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YEL050W-A,4.328366813,-8.838253938,2.352285315,11.19415807,0.000820553,0.025644627
YNL014W,39.01842064,-6.849574027,1.599360256,27.06715033,1.97E-07,3.68E-05
YGL125W,27.14440796,-6.569270651,1.586113194,25.25221957,5.03E-07,7.39E-05
YMR303C,522.9110331,-5.214169156,1.115183018,19.72940323,8.92E-06,0.000822318
YOL159C-A,6.627734965,-4.940458683,1.743786712,9.004502943,0.002693152,0.059053879
YNL142W,24.32003352,-4.450670324,1.555821901,11.96446305,0.000542248,0.019147704
YDR285W,17.36900583,-4.444098386,1.620897884,8.797878395,0.00301581,0.062595334
YBR033W,28.76466127,-4.379410858,1.58391056,10.11468092,0.001470929,0.036861345
YCR098C,19.66968775,-4.37178467,1.679029083,7.522023697,0.006094917,0.099831804
YBR132C,44.0591877,-4.364348446,1.149863043,23.56628923,1.21E-06,0.000156256
YBR148W,11.48332281,-4.333861317,1.669735774,8.686405523,0.003205923,0.065293592
YLL019C,51.32706148,-4.315360117,0.638914871,49.12717019,2.40E-12,2.17E-09
YFL054C,20.96714668,-4.126025467,1.602810187,8.739354037,0.003114148,0.064146734
YGL156W,40.80204733,-3.861001122,0.911706971,22.57030423,2.03E-06,0.000234403
YMR170C,57.30674986,-3.603916269,0.854334472,24.79544566,6.37E-07,8.89E-05
YGR008C,74.20887683,-3.312125968,0.654316649,28.32720533,1.02E-07,2.06E-05
YBR072W,20.05776057,-3.275981079,1.090306794,10.95315622,0.000934443,0.028388276
YJR096W,48.22034208,-3.055324015,0.974272165,13.27749873,0.000268611,0.011323292
YFL021W,46.21000015,-3.022204044,1.130098303,10.93629256,0.000942987,0.028488677
YBR092C,203.5727708,-3.001238543,0.640309846,30.23485746,3.83E-08,9.05E-06
YCR021C,25.10463058,-2.977095864,1.191730819,8.4899694,0.003571098,0.070106973
YER190W,150.3508158,-2.972065437,1.419104599,7.692672413,0.005544547,0.093075757
YPL216W,64.29445412,-2.951725281,0.885848093,13.73101763,0.000210942,0.009848471
YDR400W,58.40564423,-2.803685321,0.641782047,21.47983177,3.58E-06,0.000396829
YCL005W-A,32.155039,-2.681980051,0.789934982,11.5164715,0.000689822,0.022328882
YIL123W,1014.961564,-2.583580403,0.462523913,30.29442216,3.71E-08,9.05E-06
YER125W,309.8176314,-2.496379632,0.310566401,63.72576518,1.43E-15,2.59E-12
YJL079C,131.4820805,-2.456549607,0.816927429,9.934614404,0.001621994,0.039685547
YBR208C,50.6800201,-2.416093445,0.664383715,14.96988051,0.000109241,0.006268116
YBR022W,28.24063839,-2.372525944,0.835756667,8.8598312,0.002915145,0.061444032
YOL130W,180.9795435,-2.262331882,0.436744339,26.7213697,2.35E-07,4.12E-05
YMR189W,301.7496862,-2.260254041,0.417412954,29.83651448,4.70E-08,1.02E-05
YIL011W,59.5949764,-2.251402666,0.762874132,8.983955445,0.002723604,0.059481769
YGL206C,1217.747698,-2.242529548,0.366272758,36.70393617,1.38E-09,4.67E-07
YPR065W,160.3623857,-2.15516657,0.369050153,33.63135467,6.66E-09,1.91E-06
YER037W,68.04829733,-2.130134492,0.666662674,11.77422292,0.000600566,0.02029636
YDL112W,231.1574297,-2.083714674,0.354078423,34.2327722,4.89E-09,1.48E-06
YJR109C,318.7827513,-2.053654542,0.401818709,25.88689091,3.62E-07,5.62E-05
YLL013C,152.72285,-2.041214638,0.441394086,21.2127813,4.11E-06,0.000438254
YCL037C,425.284366,-2.037246023,0.333019945,36.95489921,1.21E-09,4.38E-07
YGR061C,1545.916119,-1.999323064,0.270364885,53.84214265,2.17E-13,2.95E-10
YJR137C,115.916662,-1.95142919,0.402633672,23.59887274,1.19E-06,0.000156256
YCR005C,1439.735486,-1.943318339,0.377414299,26.50901578,2.62E-07,4.46E-05
YEL034W,3835.061622,-1.91775804,0.282580516,45.28902758,1.70E-11,1.16E-08
YJL042W,85.41432978,-1.894256373,0.446769944,18.1154779,2.08E-05,0.001615122
YDL054C,58.33617746,-1.881530862,0.547162679,12.34500679,0.000442168,0.016757246
YOR350C,72.44385249,-1.878697292,0.61966435,9.091305436,0.002568275,0.057238848
YDL185W,2288.252351,-1.877754259,0.298549063,38.93158001,4.39E-10,1.70E-07
YPL240C,1752.197154,-1.87141479,0.495436585,14.03027371,0.000179891,0.008961412
YMR186W,6841.397347,-1.865983987,0.269711241,47.08423128,6.80E-12,5.28E-09
YLL021W,168.5695232,-1.856810519,0.471776332,15.30030448,9.17E-05,0.005603079
YPL128C,102.5357903,-1.850937025,0.403651437,20.79488447,5.11E-06,0.000524504
YMR205C,2647.329592,-1.786164605,0.250174266,50.26891149,1.34E-12,1.46E-09
YMR121C,450.2636594,-1.774427303,0.454112838,14.98586586,0.000108319,0.006268116
YDR356W,48.08267172,-1.768264282,0.631713048,7.715729459,0.005474174,0.092814144
YKL176C,89.19609619,-1.733908919,0.485349906,12.66565087,0.000372435,0.014570509
YML123C,3313.261282,-1.71622374,0.329033413,26.96156801,2.08E-07,3.76E-05
YBL101C,85.26689565,-1.709855008,0.495905572,11.73506888,0.000613333,0.020588306
YHR192W,81.67910738,-1.671952412,0.534725355,9.631309797,0.001912881,0.045031382
YGL253W,2202.105619,-1.666169497,0.247793646,44.70050759,2.30E-11,1.39E-08
YML056C,1675.51842,-1.662864001,0.308685774,28.65625428,8.64E-08,1.81E-05
YDR046C,359.7121785,-1.662815388,0.321426566,26.41720478,2.75E-07,4.53E-05
YBR162C,908.2504754,-1.654478692,0.375028176,19.20578546,1.17E-05,0.001029336
YGR240C,2911.006489,-1.638430477,0.297776865,29.90253538,4.54E-08,1.02E-05
YGR204W,948.6269339,-1.631785687,0.259434423,39.15019523,3.92E-10,1.64E-07
YGL195W,1096.629766,-1.631000584,0.370076444,19.21241571,1.17E-05,0.001029336
YDL171C,665.9471091,-1.629897181,0.450357475,12.94758017,0.000320335,0.01290358
YPL160W,1890.512764,-1.627954418,0.287851812,31.63951011,1.86E-08,4.81E-06
YKR095W,156.7528199,-1.620865084,0.533154894,9.206076567,0.002412131,0.054428085
YOR204W,1096.161511,-1.614564341,0.281243623,32.62357532,1.12E-08,3.04E-06
YDR309C,71.94564382,-1.583885043,0.524559845,8.915524474,0.002827566,0.060536629
YNL190W,526.7589801,-1.564817141,0.308722639,25.41601869,4.62E-07,6.98E-05
YLR249W,17939.61426,-1.551807255,0.319684354,23.2866776,1.40E-06,0.000176499
YDR213W,67.6394699,-1.539083835,0.481706834,10.04270949,0.001529521,0.037979604
YOL125W,95.31155583,-1.528122934,0.513602566,8.523354563,0.003506176,0.069658729
YDR097C,105.7413822,-1.518782786,0.386005801,15.33814557,8.99E-05,0.005554369
YAL035W,1211.245187,-1.50775912,0.501143434,8.958747433,0.002761442,0.059890344
YJL082W,90.47911981,-1.507163648,0.408683998,13.51672356,0.000236447,0.010369339
YKL101W,153.9719111,-1.499877894,0.363381487,16.95524963,3.83E-05,0.002774928
YGL066W,61.8677767,-1.498789492,0.491353062,9.115267978,0.002534848,0.056726356
YLR286C,809.6803949,-1.491531619,0.362535812,16.87023519,4.00E-05,0.002863846
YBL042C,166.9203619,-1.488112716,0.35461378,17.63696025,2.67E-05,0.001991514
YOR043W,183.4045788,-1.485771805,0.431259943,12.16209199,0.000487706,0.017799649
YMR196W,84.91108056,-1.481907721,0.525545718,8.301123703,0.003962056,0.076097583
YMR266W,191.1370147,-1.480253609,0.361004541,16.69964838,4.38E-05,0.003052887
YDL160C,285.4402796,-1.468635233,0.306470333,22.85921585,1.74E-06,0.000215433
YDR382W,2762.371297,-1.46720678,0.457649471,10.16727554,0.001429554,0.036497243
YNR016C,2310.726742,-1.445190677,0.437062283,10.82977217,0.000998809,0.028777968
YLR259C,2139.837176,-1.4393546,0.362390797,15.61885544,7.75E-05,0.005137109
YJR009C,15780.22813,-1.434348448,0.3212782,19.73052587,8.92E-06,0.000822318
YLR134W,344.9816313,-1.398250883,0.378768175,13.54016284,0.000233512,0.010369339
YLR367W,235.9512546,-1.395450115,0.440386747,10.02413432,0.001545023,0.038190153
YMR070W,88.41977005,-1.373637014,0.474776457,8.193976471,0.00420297,0.077740648
YLL024C,12364.42838,-1.367030936,0.300028147,20.57113697,5.75E-06,0.000568082
YDL055C,2981.056302,-1.360096973,0.293138636,21.33731748,3.85E-06,0.0004189
YOL004W,327.0975846,-1.354289731,0.284347715,22.60550182,1.99E-06,0.000234403
YGR157W,512.0091345,-1.346733837,0.299139702,20.13892296,7.20E-06,0.000699328
YCL064C,560.1581377,-1.33129577,0.427568422,10.54268642,0.001166487,0.032037166
YDL066W,649.1410876,-1.328318591,0.312030818,18.02902408,2.18E-05,0.001666345
YMR229C,915.7256812,-1.323142134,0.377474727,12.20626724,0.000476292,0.017500527
YJL171C,388.503471,-1.321350273,0.401917795,10.6925863,0.001075657,0.03015167
YML017W,110.0649965,-1.312428227,0.408992509,10.27742582,0.001346677,0.035207834
YLR413W,1230.269819,-1.297805365,0.341302611,14.34362443,0.000152295,0.007812998
YPL231W,3434.925697,-1.297739307,0.433769471,8.878767815,0.002885062,0.061285027
YJL039C,361.9275208,-1.273958604,0.296851377,18.34858432,1.84E-05,0.001471104
YMR307W,3462.937926,-1.268047735,0.277565107,20.70712924,5.35E-06,0.00053893
YDL192W,623.7452957,-1.260984772,0.283176154,19.76082346,8.78E-06,0.000822318
YNL066W,323.4041814,-1.251847583,0.350000423,12.70297292,0.000365075,0.01438606
YHR155W,86.52618094,-1.251750209,0.452786997,7.53290504,0.006058214,0.099530418
YCR065W,93.82212082,-1.250430708,0.440305572,8.06803049,0.004505306,0.08024443
YGL203C,159.6067762,-1.247262373,0.334510173,13.82550184,0.000200595,0.009568734
YDR232W,363.672884,-1.246193007,0.336184127,13.61467365,0.000224424,0.01017017
YOR341W,1103.649863,-1.245509744,0.349725336,12.61978945,0.000381684,0.01482571
YNL112W,898.1566222,-1.243995212,0.345364753,12.91458508,0.000326032,0.013036472
YJL080C,1350.71199,-1.236495665,0.289275002,18.16268179,2.03E-05,0.001598412
YIL125W,328.8285261,-1.234680416,0.328562132,14.05663677,0.000177387,0.00893175
YJR143C,624.3556073,-1.231140678,0.290225269,17.89606821,2.33E-05,0.001762083
YPL226W,1303.591589,-1.225658465,0.321566148,14.45682768,0.000143409,0.007645671
YOR317W,508.9120048,-1.220794641,0.309278921,15.59413671,7.85E-05,0.005137109
YDR019C,158.5965738,-1.220766067,0.419563263,8.596302053,0.003368463,0.067592994
YIL094C,206.7149228,-1.21727046,0.409488548,9.014390577,0.002678622,0.058973059
YPR154W,88.83029728,-1.213812941,0.412140946,8.725838878,0.003137317,0.064377791
YKL182W,4004.870709,-1.212878887,0.379853774,10.12394349,0.001463555,0.036846359
YKL004W,246.4659619,-1.208917866,0.321756538,13.98150271,0.000184618,0.009044619
YDL126C,1781.640343,-1.207496228,0.316900199,14.419169,0.000146305,0.007724359
YER131W,1128.774809,-1.207087406,0.418193563,8.260723167,0.004051199,0.076229822
YEL031W,948.9834826,-1.205130931,0.298163827,16.23466069,5.60E-05,0.003852089
YKL210W,1021.52296,-1.202239416,0.325676358,13.56604721,0.000230314,0.010350801
YGR218W,582.1965045,-1.196857906,0.254100426,22.08942074,2.60E-06,0.00029483
YKL010C,182.2342317,-1.194612361,0.369447168,10.44134363,0.001232256,0.03350504
YGR118W,2033.22176,-1.193528173,0.400373281,8.81739846,0.002983718,0.062166499
YOL090W,202.0652638,-1.190238703,0.325322821,13.32162204,0.000262363,0.0112341
YLR180W,1095.381873,-1.188169299,0.327286137,13.10128263,0.000295094,0.012156965
YCR012W,22279.88506,-1.187723897,0.340531448,12.08024589,0.000509589,0.018351945
YCR011C,286.9792382,-1.186723856,0.325590265,13.24590024,0.000273177,0.011427191
YHL007C,169.5306286,-1.184565226,0.358971694,10.8034972,0.001013085,0.028777968
YGR094W,1821.784567,-1.184018816,0.317040372,13.86193842,0.000196743,0.009468033
YER043C,3016.216916,-1.183849354,0.304975729,14.96538008,0.000109502,0.006268116
YDR028C,213.6184891,-1.183220875,0.3363897,12.36365821,0.000437772,0.016757246
YDR301W,103.9689902,-1.182441149,0.403889581,8.536226387,0.003481467,0.069603735
YGL191W,180.6156075,-1.17532826,0.414262408,7.952784618,0.004801344,0.083478732
YHR042W,658.9229017,-1.173670106,0.325013318,12.97395523,0.000315854,0.012818018
YDR234W,182.9217376,-1.16302731,0.363742208,10.17500755,0.001423571,0.036497243
YLR384C,397.3004931,-1.162224998,0.374687412,9.608878005,0.001936389,0.045388294
YBL017C,337.9655641,-1.150620043,0.33661786,11.64023196,0.000645406,0.0213543
YDR170C,411.9267009,-1.1494995,0.348925267,10.82016654,0.001004005,0.028777968
YPL217C,330.5635801,-1.143184817,0.415451046,7.54983682,0.006001551,0.099198887
YCR069W,141.9204701,-1.137648419,0.372899501,9.267913788,0.002332032,0.053061041
YOR326W,344.1167463,-1.136824673,0.380873153,8.885856097,0.002873883,0.061285027
YIL108W,154.1812351,-1.133038599,0.353634258,10.17526732,0.001423371,0.036497243
YLR044C,62546.85127,-1.11448127,0.309472308,12.88906277,0.000330508,0.013118992
YDR502C,714.8214656,-1.109312593,0.255907307,18.66608591,1.56E-05,0.001283103
YPL085W,299.9121953,-1.108924567,0.351843681,9.898228007,0.00165438,0.040163028
YNL216W,207.6049982,-1.107970143,0.335395243,10.8380936,0.000994331,0.028777968
YDL128W,147.2335626,-1.105852942,0.35966375,9.430303694,0.002134289,0.049179093
YBR196C,5848.137308,-1.105810539,0.314582513,12.28393904,0.000456873,0.017134315
YDR497C,368.7401744,-1.104694608,0.297723461,13.70658833,0.000213703,0.009848471
YDL148C,230.5292426,-1.091901921,0.382039391,8.173822666,0.004249925,0.0778856
YLR153C,1338.520254,-1.090105698,0.282048374,14.86208453,0.000115665,0.00655192
YMR012W,994.7979247,-1.088917896,0.293172934,13.7462959,0.000209233,0.009848471
YER126C,221.0930498,-1.086340269,0.361896611,8.938474494,0.002792258,0.060016997
YLL034C,172.5657905,-1.085921646,0.381078798,8.122597215,0.004371688,0.078921598
YBL076C,2059.896482,-1.084071936,0.311672599,12.04181589,0.000520203,0.018610936
YMR079W,474.6430816,-1.08161831,0.278707398,15.00042823,0.000107487,0.006268116
YHR027C,632.7854765,-1.08147184,0.326801925,10.92059932,0.000951008,0.028509003
